<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Ashura Senkuu Forward										_DSF^3P/^3K
Ashura Senkuu Back											_DSB^3P/^3K
Tatsumaki Zankuuuukyaku										_QDB^K
Tatsumaki Zankuukyaku										_AIR_QDB^K
Gou Shoryuken												_DSF^P
Gou Hadoken													_QDF^P
Gou Hadoken													_AIR_QDF^P
Shakunetsu Hadoken											_HCB^P
Zenpou Tenshin												_QDB^P
Hyakki Shuu													_DSF^K

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Shun Goku Satsu												_MAX^LP^LP_F^LK^HK
Messatsu Gou Rausen											_QDB_QDB^K
Messatsu Gou Hadou											_HCB_HCB^P
Tenma Gou Zankuu					                        _AIR_QDF_QDF^P
Messatsu Gou Shoryu											_QDF_QDF^P
