<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Backfist													_HCB^P
Hooligan Combination										_DSF^P
Cannon Strike												_QDB^P
Cannon Spike												_DSF^K
Cannon Drill												_QDF^K

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Maximum														_MAX_QDF_QDF^P
Reverse Shaft Breaker										_QDB_QDB^K
Spinning Knuckle											_HCB_HCB^P
Spinning Dive Smasher				                        _QDF_QDF^K
