<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Dankukyaku													_QDB^K
Dankukyaku													_AIR_QDB^K
Koryuken													_DSF^P
Gadoken														_QDF^P

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Oyaji														^HP^LK_B^LP^LP
Hisshou Buraiken											_QDB_QDB^K
Super Hyper Mega Ultra Punch								_QDB_QDB^P
Koryu Rekka													_QDF_QDF^K
Shinkuu Gadoken												_QDF_QDF^P
