<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Ashura Senkuu Forward										_DSF^3P/^3K
Ashura Senkuu Back											_DSB^3P/^3K
Tatsumaki Senpuukyaku										_QDB^K
Tatsumaki Senpuukyaku										_AIR_QDB^K
Shoryuken													_DSF^P
Hadoken														_QDF^P
Hadoken														_AIR_QDF^P
Flaming Hadoken												_HCF^P

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Shun Goku Satsu												^LP^LP_F^LK^HP
Messatsu Gou Shoryu											_QDF_QDF^K
Shinkuu Tatsumaki Senpuukyaku								_QDB_QDB^K
Shinkuu Hadoken												_QDF_QDF^P
