<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Bushin Izuna Otoshi											_QDF^P
Hozantou													_QDB^P
Hayagake													_QDF^K
Bushin Senpuukyaku											_QDB^K
Teleport Forward											_DSF^K
Teleport Back												_DSB^K

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Bushin Musou Renge											_HCB_HCB^P
Bushin Hassou Ken											_QDF_QDF^P
Bushin Gourai Kyaku											_QDF_QDF^K

