<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Cannon Spike 												~D_U^K
Cannon Drill												~B_F^K
Spinning Punch												_AIR~B_F^P
Earth Direct												_FDF^K
Teleport													_QDF^P
Psycho Charge Alpha											^3K

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Death Cross Dancing											^LP^LP_F^LK^HP
Psycho Crusher												~B_F_B_F^P
Spinning Dive Smasher				                        _QDF_QDF^K
