<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Tatsumaki Zankuuuukyaku										_QDB^K
Tatsumaki Zankuukyaku										_AIR_QDB^K
Shoryuken													_DSF^P
Hadoken														_QDF^P
Zenpou Tenshin												_QDB^P

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Shippu Jinraikyaku											_MAX_QDB_QDB^K
Shoryu Reppa						                        _QDF_QDF^P
Shinryuken													_QDF_QDF^K
