<#f0f000>SPECIAL MOVES</>
---------------------------------------------------------------------------
Condor Spire												_DSF^P
Condor Dive													_AIR_QDF^P
Tomahawk Buster												_DSB^P
Mexican Typhoon												_FDF^P
Hawk Summon													~B_F^P

<#f0f000>HYPER MOVES</>
---------------------------------------------------------------------------
Raging Slash												_QDF_QDF^P
Raging Typhoon												_HCB_HCB^P
Super Typhoon												_HCB_HCB^K
Super Hawk Summon											~B_F_B_F^P
